"","group","score"
"1","A",55.5154272668751
"2","A",60.9242459232337
"3","A",67.9392266560441
"4","A",54.3481216287686
"5","A",59.598741217245
"6","A",60.6621014219055
"7","A",63.5397736463587
"8","A",58.8015098791408
"9","A",69.9223696832646
"10","A",59.3060649394017
"11","A",62.0882537539628
"12","A",64.9087638873183
"13","A",58.0365232224809
"14","A",54.8016551152554
"15","A",68.9111448015429
"16","A",48.4446545769742
"17","A",64.3930229046063
"18","A",60.1790335900761
"19","A",65.0641434606354
"20","A",62.1613257726981
"21","B",71.4540960262457
"22","B",55.0003709017806
"23","B",68.9481910014504
"24","B",70.7732582111163
"25","B",61.0246888841407
"26","B",48.7414680607694
"27","B",63.3861865130681
"28","B",58.017209156843
"29","B",64.9610163514982
"30","B",62.4481835508867
"31","B",64.6946930188106
"32","B",62.5948020054882
"33","B",66.38082176906
"34","B",59.5792113975588
"35","B",57.1166236301012
"36","B",58.0216975065411
"37","B",52.3701011042698
"38","B",56.4870776011816
"39","B",58.2046904254977
"40","B",59.7674371633324
"41","C",57.5820688578428
"42","C",49.7044841241644
"43","C",55.291474699322
"44","C",69.0177373367382
"45","C",62.6124696506037
"46","C",69.4546021779016
"47","C",57.9725813757927
"48","C",59.0457788239962
"49","C",58.5791927422437
"50","C",53.5061611734629
"51","C",55.3085642619898
"52","C",69.8315067786562
"53","C",56.6887647332875
"54","C",65.8785775592546
"55","C",54.2621368650251
"56","C",49.6706087927634
"57","C",57.8851445312001
"58","C",64.1793126340432
"59","C",65.1961490136704
"60","C",67.85809383663
