"","dose","score"
"1","Low",56.0837743143179
"2","Low",52.2875371386829
"3","Low",59.4557232253616
"4","Low",57.9799028859374
"5","Low",63.1780900055649
"6","Low",58.4463772095986
"7","Low",48.5937668494942
"8","Low",53.9342774036082
"9","Low",64.4826993595464
"10","Low",63.8843160684136
"11","Low",57.8330224909016
"12","Low",55.0785972700228
"13","Low",56.9152866925858
"14","Low",54.7743144204335
"15","Low",55.171759536985
"16","Med",60.8451338710915
"17","Med",65.8251341951384
"18","Med",59.7789800137396
"19","Med",59.4981577870705
"20","Med",58.582777155632
"21","Med",67.7040749043549
"22","Med",60.8258450985496
"23","Med",66.5381118012728
"24","Med",66.4412843896079
"25","Med",62.9644847032401
"26","Med",58.5852815783887
"27","Med",66.2794201279993
"28","Med",64.5491957561431
"29","Med",55.3598594746283
"30","Med",66.2009041900157
"31","High",65.7673208977731
"32","High",70.259662894948
"33","High",61.2289439359124
"34","High",57.5890544017438
"35","High",69.3056593624886
"36","High",62.977400846215
"37","High",63.8629729136319
"38","High",69.6704808543125
"39","High",62.6705206010452
"40","High",61.8122825071489
"41","High",71.7185431309969
"42","High",65.9076769229897
"43","High",71.4625616820857
"44","High",56.559757120676
"45","High",60.8950321118452
"46","Very High",65.6892692795012
"47","Very High",70.4942184456898
"48","Very High",68.1217242790082
"49","Very High",73.6195207764213
"50","Very High",61.0130899071373
"51","Very High",66.6812842921189
"52","Very High",66.8813675563541
"53","Very High",69.6018378408092
"54","Very High",72.178123814147
"55","Very High",79.8545048486212
"56","Very High",67.0162066374544
"57","Very High",67.2374639419552
"58","Very High",73.4798331685055
"59","Very High",69.2216801769601
"60","Very High",76.7444909759887
